time,x,y,x1,y1,theta_left,theta_right,theta
6.48,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.5,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.52,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.54,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.56,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.58,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.6,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.62,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.64,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.66,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.68,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.7,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.72,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.74,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.76,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.78,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.8,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.82,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.84,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.86,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.88,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.9,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.92,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.94,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.96,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.98,48.0,170.0,92.0,171.0,0.0,0.0,0.0
7.0,48.0,170.0,92.0,171.0,0.0,0.0,0.0
7.02,48.0,170.0,92.0,171.0,0.0,0.0,0.0
7.04,48.0,170.0,92.0,171.0,0.0,0.0,0.0
7.06,48.0,170.0,92.0,171.0,0.0,0.0,0.0
7.08,48.0,170.0,92.0,171.0,0.0,0.0,0.0
7.1,48.0,170.0,92.0,171.0,0.0,0.0,0.0
7.12,48.0,170.0,92.0,171.0,0.0,0.0,0.0
